Kyogle,152.7755670483,-28.6178054333
Lachlan,146.9899447302,-32.9200110644
Lake Macquarie,151.5301150384,-33.0387991371
Lane Cove,151.1668954039,-33.8199933465
Leeton,146.3021150045,-34.5323504641
Leichhardt,151.1678709261,-33.8704814547
Lismore,153.2706506943,-28.7561971084
Lithgow,150.1789842927,-33.2776983233
Liverpool,150.8253880892,-33.9359639905
Liverpool Plains,150.4384238913,-31.5506202936
Lockhart,146.77542619,-35.331277976
Maitland,151.5497571289,-32.7108114925
Manly,151.2699883364,-33.8002484566
Marrickville,151.1588815609,-33.9078815545
Mid-Western Regional,149.7424836527,-32.5937801857
Moree Plains,149.6289301328,-29.2528778678
Mosman,151.2446350912,-33.8290817171
Murray,144.7420215472,-35.7323471496
Murrumbidgee,145.6725308156,-34.6892486711
Muswellbrook,150.6302883304,-32.4399008476
Nambucca,152.768938844,-30.6875561696
Narrabri,149.5649112897,-30.3564783138
Narrandera,146.5796903866,-34.611261941
Narromine,148.0655753292,-32.2261310856
Newcastle,151.6956951808,-32.8800613361
North Sydney,151.2118923033,-33.832941974
Oberon,149.8112988047,-33.8831202835
Orange,149.1203857716,-33.3246547747
Palerang,149.6407195769,-35.4232208946
Parkes,147.9615292558,-32.8809298226
Parramatta,151.0154109662,-33.8098134712
Penrith,150.7180521629,-33.7653824454
Pittwater,151.2792873091,-33.6398197181
Port Macquarie-Hastings,152.5312443603,-31.4098113205
Port Stephens,151.8447239625,-32.7217905691
Queanbeyan,149.2220153636,-35.4092733569
Randwick,151.2402058458,-33.9432406654
Richmond Valley,153.0462853558,-29.0596313537
Rockdale,151.1398722778,-33.9548642726
Ryde,151.110562338,-33.7991387784
Shellharbour,150.7738014803,-34.5827492826
Shoalhaven,150.3713878167,-35.0941983928
Singleton,150.964580577,-32.6603829782
Snowy River,148.6776613288,-36.3557936294
Strathfield,151.076586368,-33.8803812663
Sutherland Shire,151.0510223603,-34.075139329
Sydney,151.2027415416,-33.8893771593
Tamworth Regional,150.9070393937,-30.8924960084
Temora,147.4836563355,-34.3879395886
Tenterfield,152.0864390264,-28.9438606753
The Hills Shire,150.964252,-33.59498923
Tumbarumba,148.139841355,-36.0299343541
Tumut Shire,148.3552419427,-35.4469884553
Tweed,153.3562204019,-28.3600089225
Upper Hunter Shire,150.7265913909,-31.9692282309
Upper Lachlan,149.4556779492,-34.4177300064
Uralla,151.3123217213,-30.5076741335
Urana,146.2772847503,-35.2660087116
Wagga Wagga,147.3664681864,-35.1966613053
Wakool,143.9030132622,-35.0874318967
Walcha,151.784525606,-31.1639100633
Walgett,148.1944553995,-29.8166588483
Warren,147.6798388608,-31.3256457256
Warringah,151.229761687,-33.7101569535
Warrumbungle Shire,149.4053840197,-31.462727016
Waverley,151.266729046,-33.8899822518
Weddin,148.0119750465,-33.8723329965
Wellington,149.0124237787,-32.5902146162
Wentworth,142.2428434106,-33.5701944073
Willoughby,151.1963701822,-33.8010961845
Wingecarribee,150.356267645,-34.4769644238
Wollondilly,150.4437122687,-34.1019620879
Wollongong,150.8370730513,-34.3688553442
Woollahra,151.2573945427,-33.8716725885
Wyong,151.3733747264,-33.2269264375
Yass Valley,148.8848290567,-34.954167136
Young,148.2310626188,-34.2259532521
Unincorporated Far West,142.2157917868,-30.654428922
