ID,2005
1,617
2,443
3,409
4,556
5,365
6,325
7,457
8,541
9,399
10,300
11,289
12,450
13,236
14,288
15,245
16,306
17,193
18,193
19,662
20,1736
21,1197
22,528
23,702
24,630
25,158
26,295
27,538
28,270
29,326
30,325
31,556
32,490
33,406
34,394
35,415
36,52
37,144
38,302
39,644
40,291
41,306
42,346
43,392
44,854
45,156
46,364
47,367
48,533
49,470
50,359
51,153
52,353
53,372
54,429
55,223
56,394
57,438
58,205
59,459
60,234
61,169
62,167
63,329
64,182
65,522
66,217
67,219
68,384
69,348
70,174
71,231
72,590
73,290
74,168
75,190
76,201
77,374
78,393
79,213
80,310
81,558
82,527
83,339
84,484
85,190
86,142
87,406
88,502
89,512
90,353
91,824
92,313
93,298
94,337
95,436
96,367
97,351
98,631
99,467
100,719
101,519
102,322
103,493
104,192
105,278
106,552
107,409
108,348
109,310
110,448
111,371
112,410
113,439
114,305
115,310
116,451
117,409
118,293
119,480
120,616
121,292
122,2016
123,414
124,262
125,393
126,241
127,241
128,313
129,353
130,225
131,163
132,233
133,174
134,475
135,139
136,125
137,787
138,426
139,272
140,249
141,667
142,216
143,551
144,498
145,408
146,270
147,204
148,486
149,537
150,423
151,200
152,229
153,89
