55
10,33,60,72,96,133,137
23,28,29,81,89
7,28,106,120
24,82,113
30,31,64,136,145
4,29,47,84,106,120,121
14,25,42,83,90,102,132
17,38,46
2,33,35,96
36,41,70,93
47,63,65,106,107,126
30,37,48,77,98,124,143,153
8,25,42,103
63,83,102,107,148
20,21,34,77,139
9,38,119
42,62,132,152,153
89,112,114,122
16,21,31,34,130
16,20,138,139
130
3,28,29,120
5,82,129
8,14,42,44,48,90,99,103,105,144
27,84,148
26,84,121,148,149
3,4,23,120
3,7,23,68,89,114,120
6,13,31,34,57,64,77,94,98
6,20,30,34,130,145
52,63,78,87,100,118,151
2,10,35,50,60,76,113,125
16,20,30,31,77
10,33
11,43,64,70,93,94,136
13,71,98,124,135
9,17,46,104,119,128
49,97,138,139,141
58,62,71,124,153
11,55,70,134
8,14,18,25,48,132,143,153
36,93
25,49,99,141,144
51,54,87,110,118,131
9,38,104,117
7,12,65,84,106,107
13,25,42,77,105,143
39,44,99,139,141
33,60,69,125
45,54,56,131,137
32,63,66,126,151
104,117,132,147
45,51,56,110
1,41,86,127,134,135
51,54,109,137
30,80,94,98
40,62,71,128,135,152
85,97,123,141
2,33,50,61,69,133
60,69,91,97,123,133
18,40,58,152,153
12,15,32,52,83,107,118,126
6,30,36,94,136
12,47,106
52,75,106,115,126
115
29,74,114
50,60,61,91,125
11,36,41,94,134
37,40,58,124,135
2,96,109,137
116,117,147
68,114,121
66,115,140,146
33,82,113,125,129
13,16,30,34,48,99,105,139
32,100,151
101,146
57,94,98
3,89,122
5,24,76,113,129
8,15,63,90,102,118
7,26,27,47,107,121,148
59,123,131,141
55,98,134,135
32,45,100,110,118
140
3,19,29,81,114,122
8,25,83,95,118,131,141,144
61,69,97,138
101
11,36,43,136
30,36,57,64,70,80,98,134
90,118,131
2,10,72
39,59,61,91,123,138,141
13,30,37,57,80,86,94,134,135
25,44,49,77,105,139
32,78,87,110
79,92,146
8,15,83,132,148
14,25
38,46,53,111,117,132,152
25,48,77,99
4,7,12,47,65,66,115,126
12,15,47,63,84,148
140
56,72,137
45,54,87,100
104
19,122,142,150
5,33,76,82
19,29,68,74,89
66,67,75,106,146
73,147,149
46,53,73,104,147
32,45,63,83,87,90,95,131
17,38,127,128
4,7,23,28,29
7,27,74,84,149
19,81,89,112,150
59,61,85,97,131,133,137
13,37,40,71,153
33,50,69,76
12,52,63,66,106
55,119,128,135
38,58,119,127,135,152
24,76,82
20,22,31,145
45,51,85,90,95,118,123,137,141
8,18,42,53,102,104,147,148,152
2,60,61,123,137
41,55,70,86,94,98
37,55,58,71,86,98,127,128
6,36,64,93
2,51,56,72,109,123,131,133
21,39,91,97,139
16,21,39,49,77,99,138
75,88,108
39,44,49,59,85,90,97,131,144
112,150
13,42,48,153
25,44,90,141
6,31,130
75,79,101,115
53,73,116,117,132,148,149
15,26,27,84,102,107,132,147,149
27,116,121,147,148
112,122,142
32,52,78
18,58,62,104,128,132
13,18,40,42,62,124,143
