initial TF,1,1
1
24
43
88
100
119
122
23
44
68
101
20
91
106
8
27
95
98
46
59
125
2
41
72
103
40
48
56
107
111
117
134
148
21
39
64
105
144
6
11
12
35
52
53
54
57
70
80
83
99
120
123
143
145
150
152
