initial TF,1,1
1
24
43
100
111
119
122
23
44
20
91
106
8
27
95
98
46
59
125
2
41
72
103
40
48
56
107
117
134
148
21
39
64
68
105
144
6
11
12
35
52
53
54
57
70
80
83
88
99
120
123
143
150
152
