ID,2008
1,610
2,428
3,361
4,502
5,404
6,681
7,419
8,448
9,302
10,212
11,287
12,467
13,301
14,238
15,249
16,378
17,168
18,187
19,677
20,1151
21,798
22,519
23,672
24,606
25,173
26,234
27,468
28,357
29,307
30,352
31,411
32,427
33,425
34,382
35,459
36,70
37,113
38,298
39,637
40,325
41,254
42,386
43,379
44,538
45,177
46,406
47,346
48,473
49,343
50,289
51,157
52,333
53,328
54,416
55,220
56,415
57,387
58,215
59,389
60,199
61,184
62,260
63,318
64,237
65,456
66,209
67,201
68,349
69,328
70,317
71,294
72,494
73,229
74,164
75,204
76,266
77,415
78,341
79,284
80,436
81,521
82,456
83,403
84,447
85,149
86,165
87,451
88,439
89,552
90,298
91,1042
92,281
93,220
94,281
95,410
96,451
97,368
98,366
99,370
100,653
101,487
102,221
103,453
104,188
105,502
106,554
107,409
108,260
109,316
110,518
111,401
112,408
113,458
114,343
115,307
116,333
117,353
118,282
119,416
120,715
121,248
122,1873
123,393
124,306
125,515
126,262
127,153
128,278
129,324
130,187
131,111
132,153
133,225
134,461
135,169
136,179
137,835
138,426
139,243
140,323
141,612
142,117
143,402
144,487
145,406
146,255
147,175
148,389
149,532
150,368
151,199
152,348
153,99
